,City,Country,Latitude,Longitude,Temperature,Max_Temp,Min_Temp,Humidity,Cloudiness,Windspeed
132,Manicoré,BR,-5.8092,-61.3003,299.59,299.59,299.59,44,72,0.24
133,Port Elizabeth,ZA,-33.918,25.5701,289.31,289.31,288.2,94,75,2.06
134,Hong Kong,HK,22.2855,114.1577,302.16,302.77,300.9,87,100,2.68
135,Beïnamar,TD,8.6698,15.3813,294.46,294.46,294.46,95,84,1.52
136,Moree,AU,-29.4667,149.85,286.16,286.16,286.16,67,90,6.69
137,Kununurra,AU,-15.7667,128.7333,299.14,299.14,299.14,17,99,5.66
138,Talnakh,RU,69.4865,88.3972,298.62,298.62,298.62,43,5,1.65
139,Noyabrsk,RU,63.1994,75.4507,291.57,291.57,291.57,75,95,3.41
140,Hede,CN,33.7681,120.2517,302.56,302.56,302.56,70,70,4.3
141,Lavrentiya,RU,65.5833,-171.0,287.68,287.68,287.68,80,33,6.3
142,Bereda,ES,43.2686,-7.5406,287.78,289.77,286.97,100,46,1.44
143,Tubualá,PA,9.5167,-79.0333,294.24,300.0,293.71,77,100,1.28
144,Innisfail,AU,-17.5333,146.0333,300.3,300.3,300.3,50,35,5.82
145,Ndélé,CF,8.4109,20.6473,293.06,293.06,293.06,96,45,0.76
146,Mahébourg,MU,-20.4081,57.7,293.31,293.31,291.07,60,40,5.14
147,Bathsheba,BB,13.2167,-59.5167,299.49,299.49,299.49,78,20,3.6
148,Qaanaaq,GL,77.484,-69.3632,278.31,278.31,278.31,69,7,2.51
149,Saint-Leu,RE,-21.15,55.2833,290.12,291.63,286.8,70,89,3.14
150,Karratha,AU,-20.7377,116.8463,298.34,298.34,298.34,23,20,12.42
151,Ovsyanka,RU,55.9575,92.5519,292.69,292.69,292.69,80,82,1.06
152,Padang,ID,-0.9492,100.3543,303.18,303.18,303.18,67,100,1.51
153,Boguchany,RU,58.3814,97.4531,298.8,298.8,298.8,42,36,2.42
154,Salalah,OM,17.0151,54.0924,299.2,299.2,299.2,94,90,3.09
155,Coahuayana Viejo,MX,18.7333,-103.6833,299.77,299.77,299.77,86,100,0.9
156,Egvekinot,RU,66.3167,-179.1667,291.91,291.91,291.91,57,13,12.62
157,Bluff,NZ,-46.6,168.3333,281.41,281.41,281.41,70,100,2.52
158,Vao,NC,-22.6667,167.4833,294.36,294.36,294.36,71,39,6.25
159,Castro,BR,-24.7911,-50.0119,281.98,281.98,281.98,96,76,2.72
160,Ilulissat,GL,69.2167,-51.1,281.16,281.16,281.16,87,32,1.03
161,Santa Fe,AR,-31.6333,-60.7,285.47,286.48,282.54,65,0,0.89
162,Codrington,AU,-38.2667,141.9667,286.06,286.06,286.06,81,100,6.63
163,Canto do Buriti,BR,-8.11,-42.9444,294.52,294.52,294.52,52,4,2.85
164,Mar del Plata,AR,-38.0023,-57.5575,281.48,282.64,280.86,1,0,6.71
165,Hualmay,PE,-11.0964,-77.6139,290.99,290.99,290.99,85,81,3.38
166,Geraldton,AU,-28.7667,114.6,290.38,290.38,289.89,55,0,7.72
167,Lithgow,AU,-33.4833,150.15,283.4,287.32,281.53,64,65,5.82
168,Beloha,MG,-25.1667,45.05,288.53,288.53,288.53,75,0,3.02
169,Saint George,US,37.1041,-113.5841,310.87,312.48,309.4,11,1,1.34
170,Anadyr,RU,64.75,177.4833,295.43,295.43,295.43,49,0,13.0
171,Avarua,CK,-21.2078,-159.775,297.18,297.18,297.18,73,20,2.06
172,Vallenar,CL,-28.5708,-70.7581,287.77,287.77,287.77,72,11,1.21
173,Henties Bay,NA,-22.116,14.2845,286.4,286.4,286.4,81,8,2.74
174,Christchurch,NZ,-43.5333,172.6333,284.05,285.0,283.26,76,75,4.47
175,Almonte,ES,37.2647,-6.5167,296.19,297.19,295.86,46,7,2.49
176,Halifax,CA,44.6453,-63.5724,290.63,292.09,289.26,84,97,0.45
177,Ransang,PH,8.9603,117.5828,304.87,304.87,304.87,62,52,6.23
178,Nyurba,RU,63.2842,118.3319,300.66,300.66,300.66,30,6,3.67
179,Nanortalik,GL,60.1432,-45.2371,280.21,280.21,280.21,97,100,1.58
180,Ancud,CL,-41.8697,-73.8203,283.28,283.28,282.89,89,100,8.39
181,Palestine,PS,31.9216,35.2033,296.57,297.56,292.23,30,0,1.03
182,Grand Gaube,MU,-20.0064,57.6608,291.14,293.37,291.14,74,68,1.79
183,Mandera,KE,3.9366,41.867,295.34,295.34,295.34,74,91,5.74
184,Esim,GH,4.8699,-2.2405,297.42,297.42,297.42,87,47,3.55
185,Celestún,MX,20.8667,-90.4,301.29,301.29,301.29,78,10,7.48
186,Nome,US,64.5011,-165.4064,290.19,293.24,290.19,72,75,6.69
187,Bereket,TM,39.2446,55.5154,303.03,303.03,303.03,33,24,3.43
188,Roscommon,IE,53.6333,-8.1833,287.66,287.66,287.66,95,100,6.05
189,Lata,PT,40.1629,-8.3327,290.16,290.95,289.22,97,17,0.86
190,Lagoa,PT,39.05,-27.9833,295.23,295.23,295.23,91,0,5.47
191,Coquimbo,CL,-29.9533,-71.3436,286.0,286.0,286.0,87,90,1.54
192,Brae,GB,60.3964,-1.353,288.1,288.1,288.1,85,100,5.03
193,Batemans Bay,AU,-35.7167,150.1833,292.91,293.1,289.25,39,74,3.54
194,Sédhiou,SN,12.7081,-15.5569,296.74,296.74,296.74,97,100,2.07
195,Hailar,CN,49.2,119.7,288.14,288.14,288.14,90,99,4.83
196,Shaowu,CN,27.3409,117.4831,300.48,300.48,300.48,86,100,1.59
197,Hasaki,JP,35.7333,140.8333,305.34,308.31,304.37,70,0,3.59
198,Iztapa,GT,13.9333,-90.7075,300.72,300.72,300.72,85,100,1.36
199,Ponta do Sol,PT,32.6667,-17.1,294.64,297.04,293.77,82,1,1.29
200,Ust-Tsilma,RU,65.441,52.1498,288.09,288.09,288.09,66,95,2.87
201,Grand Forks,US,47.9417,-97.4337,294.98,295.11,294.11,82,20,5.14
202,Kieta,PG,-6.2167,155.6333,301.02,301.02,301.02,83,78,4.1
203,Chokurdakh,RU,70.6333,147.9167,281.64,281.64,281.64,60,100,6.66
204,Fairbanks,US,64.8378,-147.7164,299.6,301.15,298.27,44,40,3.6
205,Grand Junction,US,39.0639,-108.5507,299.81,301.28,293.27,25,1,0.45
206,Narsaq,GL,60.9167,-46.05,280.27,280.27,280.27,86,92,0.94
207,Mason City,US,43.1536,-93.201,292.4,295.42,290.22,77,1,2.57
208,Gornyy,RU,55.1153,83.9059,290.81,290.81,290.81,84,99,2.63
209,Dikson,RU,73.5069,80.5464,280.93,280.93,280.93,89,24,0.79
210,Rassvet,RU,46.8333,40.75,293.75,295.38,292.35,71,42,3.0
211,Price,US,39.5994,-110.8107,300.3,300.74,283.83,26,1,2.06
212,Weyburn,CA,49.6668,-103.8511,293.25,293.25,293.25,56,56,4.28
213,Acapulco de Juárez,MX,16.8634,-99.8901,299.55,299.55,299.55,82,100,1.98
214,Zeya,RU,53.75,127.2667,287.28,287.28,287.28,99,100,1.58
215,Makakilo City,US,21.3469,-158.0858,300.85,302.33,297.75,54,1,6.17
216,East London,ZA,-33.0153,27.9116,291.49,291.49,291.49,87,95,3.03
217,Huayucachi,PE,-12.1333,-75.2333,281.27,281.27,281.27,78,93,0.79
218,Aquin,HT,18.2833,-73.4,299.38,299.38,299.38,83,78,1.94
219,Mānsa,IN,29.9833,75.3833,304.22,304.22,304.22,65,18,3.11
220,Shinpokh,PK,34.3292,71.1782,300.82,300.82,300.82,68,14,1.61
221,Cabo San Lucas,MX,22.8909,-109.9124,302.24,302.88,300.34,49,84,1.79
222,Port Hedland,AU,-20.3167,118.5667,297.18,297.18,297.18,25,40,10.29
223,Kavaratti,IN,10.5669,72.642,301.03,301.03,301.03,79,100,8.56
